QUOTE TABLES,,,,,,,MATERIAL OF CONSTRUCTION:,,,SA36,,,,,SS,CST
SS SHELL ROLLING,,"API TOP, BOTTOM, RIM ANGLE",RINGS,NOZZLES,,,,"48"" OR 60""","72""","96""","120""",,,THICKNESS,LBS/SQ. FT. ,LBS/SQ. FT. 
CST SHELL ROLLING,,HEADS/SHELL SEAMS,BAFFLES,HALF PIPE JACKET,,,"3/16""",$0.73,N/A,$0.89,$0.73,,,"3/16""",8.58,7.66
LEGS,,"LADDER, HANDRAIL, PLATFORM",POLISHING,DIMPLE JACKET,,,"1/4""",$0.60,N/A,$0.85,$0.97,,,"1/4""",11.16,10.21
SADDLES/SKIRT/LUGS,,,,INTERNAL COIL,,,"5/16""",$0.60,N/A,N/A,N/A,,,"5/16""",13.75,12.76
SHEET CALCULATOR,,ADD-ONS,NOTES,,,,"3/8""",$0.60,N/A,N/A,N/A,,,"3/8""",16.5,15.32
TANK TYPES,,304,316,CARBON,,,"1/2""",$0.60,N/A,N/A,N/A,,,"1/2""",21.66,20.42
API,,150# FLANGES,150# FLANGES,150# FLANGES,,,"5/8""",$0.87,N/A,N/A,N/A,,,"5/8""",26.83,25.53
ASME,,300# FLANGES,300# FLANGES,300# FLANGES,,,"3/4""",$0.91,N/A,N/A,N/A,,,"3/4""",32.12,30.63
FLAT TOP / CONE BOTTOM,,WELDED PIPE,WELDED PIPE,WELDED PIPE,,,"7/8""",$0.89,N/A,N/A,N/A,,,"7/8""",37.29,35.74
HORIZONTAL,,SEAMLESS PIPE,SEAMLESS PIPE,SEAMLESS PIPE,,,"1""",$0.89,N/A,N/A,N/A,,,"1""",42.67,40.84
FIELD KIT,,MISCELLANEOUS/PAD FLANGE,MISCELLANEOUS,MISCELLANEOUS,,,,,,,,,,,,
Savannah Tank & Equipment Corporation,,,,,,,,,,,,,,,,
QUOTATION NO,9027,,DATE,6/18/25,,,,,,,,,,,,
